Restaurant,Review,Real,Reviewer,F1-AWL,F2-PAU,F3-ANP,F4-ASL,F5-NCL,F6-NWO,F7-NVB,F8-NAJ,F9-NPV,F10-EMO,F11-CDV,F12-RED,F13-LXD,F14-NMV,F15-NTY
Jasmin Restaurant,"Coming from India myself I wanted to see if there was food Indian food in Lubbock. The place that was closest to me was Jasmin Restaurant. The restaurant smelled decent and 
they were friendly taking my order. However, I couldn't find anyone to help me after they took my order. I wish they had checked on me more. The shahi paneer that I ordred was 
not too good either. It tasted like it came from a frozen meal. I was hoping since the owners were Indian they would know good Indian food but they did not. I will have to try a
different Indian restaurant in Lubbock.",0,3,3.882352941,1.111111111,10.16666667,13.22222222,9,119,19,12,0,0.516129032,0.777777778,7.111111111,0.660550459,2,1
Jasmin Restaurant,"My family and I met for lunch at Jasmin Restaurant on 50th street. This restaurant had the absolute best service that I have ever experienced at any restaurant before. With 
potato pakoda as our appetizer and aloo palak as our main dish, my family and I thoroughly enjoyed our meal. A big thanks from my family to the chef and staff for helping us 
have a great dining experience. We will be returning soon.",0,3,4.12345679,1.2,11.4375,16.2,5,81,6,6,0,0.416666667,0.916666667,7.8,0.786666667,1,0
Rose Restaurant,"Good change of pace from burgers, pizza, sandwiches and tacos.Don't expect gourmet Indian food, but it will satisfy your cravings.We ordered Samosas which were really good, 
Tikka masala and butter chicken with rice and naan.All of the food was good and flavorful.Naan was acceptable.I ordered the Indian version of a Chik Fil A sandwich- chicken 
breast dipped in Tikka masala sauce, arugula lettuce, pickles and a creamy sauce.This was a really good sandwich and it was accompanied with fries.A great value.Will 
definitely return when we visit Lubbock.",1,0,4.236363636,1.666666667,14.86666667,12.22222222,9,110,11,11,1,0.394736842,0.836363636,4.444444444,0.726315789,2,1
Rose Restaurant,"First time here, and it was a pretty great experience. The guy in the front taking orders was very helpful. He was very knowledgeable of the menu and was very transparent with his 
answers. We decided to get theTikka Pizza, Southern Curry Chicken Bowl, and the Spicy Chcicken Kabob. We also ended with the Mango Lassi, Gulab Jamun and the Ras Maiai. The 
Southern Curry Chicken bowl tasted great, but it came out a good 3-5 minutes before anything else so by the time we got the remaining food it was cold. The Tikka Pizza ________. 
The spicy chicken kabob was good, but I wish it came out warmer and it wasn't very spicy. I enjoyed the salad that came with it and the garlic naan bread was amazing. The dessert 
were unique. I can't say we were crazy about the Gulab Jamun but I did enjoy the Rad Maiai.

The atmosphere was open and inviting, and although not advertised (which isn't a bad thing always) they do have WiFi so as a student you can stop by for a quick lunch and do 
some studying as well.

Overall I was impressed. If you are looking for a quick food option that's different then traditional options this is a great place to consider!

Warning: I wouldn't go in expecting authentic Indian cuisine but its good food so give it a try!",1,0,3.726937269,2.266666667,12,18.06666667,15,271,24,27,0,0.721311475,0.81372549,9,0.594936709,1,4
Rose Restaurant,"The second location in Lubbock. Rose Restaurant is a fast casual Indian cuisine with self-service similar to the Chipotle concept. In fact, the bowl it uses is very similar to the Chipotle 
bowl. The dining area is spacious with modern open ceiling. There are two private toilet rooms, one for each gender. The ordering process is simple and straightforward. The 
menu selection is adequate, not overwhelming and easy to understand. The older lady that stationed at the front counter seems to be of Indian descent so it should hint at 
authentic Indian cuisine. However, I wasn't impressed with my southern curry entree. It's slightly better than the supermarket frozen microwaveable ethnic meal. The southern 
curry misses the mark - it lacked flavors and depth. I had more enjoyable and better valued meals at Indian buffets I had visited. An example of Americanized Indian restaurant I 
like is Tarka Indian Kitchen - it's fast casual dining without skimping in taste. I have known many ethnic restaurants and many more mediocre ones - the latter often have very 
mediocre chef who wouldn't make it his or her own hometown.",1,0,4.407582938,1.571428571,15.16129032,15.07142857,14,211,16,40,0,0.839285714,0.822916667,6.642857143,0.677248677,1,1
Rose Restaurant,"I don't hate this place, but there are better Indian food places in town. This is like the Taco Bell of Indian food. It is mass produced, not too much spice or complexity of flavor, so non adventurous people can feel they are getting something exotic. If I eat here it is never my choice, but someone else wants to go and I cannot convince them to go somewhere better.",1,0,3.7375,2,10.5,20,4,80,11,7,0,0.636363636,0.892857143,11,0.805555556,1,0
Gloria Restaurant,I've been coming here for a while now and I want to take the time and share my thoughts about Gloria Restaurant. The food is always great here but what really stands out is how friendly the owner is. He greets us with such a welcoming cheer. I highly recommend this place for lunch buffet and dinner. The food is always fresh and delicious. Go out and try something different. You won't regret it!,1,0,3.843373494,1,9.444444444,11.85714286,7,83,11,6,0,0.636363636,0.964285714,6.857142857,0.776315789,0,0
Gloria Restaurant,The food was not great. Two of the dishes tasted very sour as there was too much tomato Sauce. Would not recommend this place. I only have two stars cause they kept asking is everything okay.,1,0,3.9,1,6.2,10,4,40,5,4,0,0.7,1,5.5,0.944444444,0,0
"Gloria Restaurant
","knew i was in trouble when i walked in the restaurant and there was not the usual aroma of an indian restaurant.This is by far the worst Indian food i have ever had, I am not indian but i have traveled to cities with large Indian populations such as Vancouver BC, LA, and Houston TX. So i have a pretty good idea what the food should taste like. Without sounding downright hateful, this must be what Indian prison food tastes like: it was watery, under seasoned, and made with the cheapest of ingredients. It had no spice which is the hallmark of indian food.and when i asked for chutney to try to spice up the food so it would be somewhat fit to eat, the establishment said: we don't have any but how about a chopped jalapeno pepper?

I am sorry but the 4~ 5 star reviews are hoaxes. I will go as far as to say this: this was the worse food i have had to paid for in the last 10 years.",1,0,3.689119171,2.428571429,10.60869565,27.57142857,7,193,22,18,0,0.630434783,0.828571429,15.14285714,0.625,4,0
"Gloria Restaurant
","The food is authentic, delicious, healthy, and homemade.The daily buffet is fresh and delicious. There's enough vegan, vegetarian, and meat options for any diet.

The service is fine - it's a small operation so there's not busboys and waiters falling over themselves to help you. You'll be disappointed if you expect an army of people clapping hands and singing idiotic birthday songs. It's the owner and maybe a nice helper.

The restaurant hasn't been updated in a while and looks old. Don't make the mistake another reviewer has made and confuse age with cleanliness. I've looked at the kitchen and it's clean. No, it's not pristine. But you've nothing to worry about.

Go and enjoy yourself!",1,0,3.952054795,1.583333333,11.15,12.16666667,12,146,15,18,0,0.526315789,0.980392157,6.333333333,0.74015748,1,3
Jasmin Restaurant,"Lunch buffet at a local Indian restaurant. Simple selection of food. Happy.

Rice + Naan + Palak Paneer (Spinach) + a few other things is enough for me.

Located on a street within a street. Parking behind the restaurant.",1,0,3.85106383,1.333333333,10.11111111,7.833333333,6,47,1,7,0,0.636363636,0.826086957,2.666666667,0.820512821,0,0
Jasmin Restaurant,"A superior option in terms of quality, authenticity, taste and portion size. I highly recommend anyone who is partial toward Indian cuisine try this place out. Really the best option in Lubbock. I've been here many times and gotten the butter chicken, tikka masala and much more. Every time has been delicious. The naan is also very good.",1,0,4.132352941,1.5,14,11.33333333,6,68,3,8,0,0.7,0.964285714,5.166666667,0.86440678,0,0
Jasmin Restaurant,"I do like local restaurants, they're so delicious most of the time but I'm sorry, it was my first and last time! Ive been to many Indian restaurants all over the country but never been this disappointed before! I've almost left everything but the chicken in my plate.

If you really know good meat and you've been to many of good restaurants, you would probably regret going there.",1,0,3.9125,1.75,11,20,4,80,6,12,0,1.333333333,0.826086957,12.5,0.712328767,1,2
Jasmin Restaurant,I was not impressed. The buffet that was promised to be so good was lacking in flavor and spice that is synonymous with Indian cuisine. I feel like they dumbed it down for the local tastebuds instead of staying true to Indian cuisine. Not impressed. Will not be back.,1,0,4.055555556,1,12,10.8,5,54,6,8,1,0.916666667,0.857142857,5.6,0.795918367,0,0
Jasmin Restaurant,"I really love this place. I always try to take new friends with me every time to see if they like the Indian food, and every one has loved it. They offer Excellent service and have a wide selection of dishes. This is the best indian food place in lubbock.",0,2,3.745454545,1.25,10.77777778,13.75,4,55,7,6,0,0.470588235,0.904761905,7.25,0.86,0,0
Jasmin Restaurant,"Jasmin Restaurant is undoubtedly the best Indian restaurant I have ever been to. My wife took me to this restaurant because one of her Indian friends suggested it. However, now I come here every time I want to get some food from outside. The price is also really reasonable and their food is always fresh and full of flavor.",0,2,4.078125,1.25,7.777777778,16,4,64,4,6,0,1.153846154,0.818181818,9.25,0.796610169,0,0
Jasmin Restaurant,"This place is the perfect combination of affordability and wonderful taste. When I first went to this restaurant, I was not a big fan of Indian food, due to some unpleasant experience from the last indian food place I visited, but Jasmin Restaurant's food made me fall in love with Indian food and its flavor. I would recommend everyone to go to this place.",0,2,4.070422535,2,12.46153846,23.66666667,3,71,7,8,0,0.454545455,0.75,12.33333333,0.738461538,1,0
Jasmin Restaurant,Nice environment. The air in this place literally aromatic and makes you crave their famous and mouth-watering butter chicken. The staff and the owner is really friendly. I have been coming to this place for a while. I have never been disappointed with their service or quality of food.,0,2,4.25,1.2,12,11.2,5,56,5,4,0,0.388888889,0.954545455,5.6,0.82,0,0
Jasmin Restaurant,"Jasmin Restaurant serves the most authentic Indian food around the Lubbock area. Although I am not from India, but I know quite a lot about Indian food. Unlike some other so-claimed Indian restaurants around the area do not use fresh Ingredients like these people do. I really like the service and prices as well.",0,2,4.180327869,1.5,18.71428571,15.25,4,61,5,6,0,0.733333333,0.769230769,7.25,0.745454545,0,0
Jasmin Restaurant,"I had butter chicken which is my favorite Indian dish and this is now my favorite place to eat it. The sauce had a much more prominent tomato flavor than most other places, which was extremely Pleasant. I'm capable of dealing with some fairly hot stuff but the medium was perfect for me. When I showed up there was hardly anybody in the restaurant oh, and by the time I left every seat was filled, predominantly with Indian people so you know the food is good and authentic. The garlic naan was not just plain naan with a little garlic salt on it , this had tons of garlic and it was wonderful. You know exactly who the clientele is when you see the cricket match playing on the TV. I will definitely have to come back for the buffet.",1,0,3.940397351,1.571428571,10.04347826,21.57142857,7,151,11,16,0,0.763157895,0.896551724,11.71428571,0.685714286,0,0
Jasmin Restaurant,"Went 12/12/18 with my wife for lunch and had a great experience. The atmosphere was great and the staff extremely friendly. Coming from Houston and having some of the best Indian cuisine that city has to offer, this place holds its own. Of all the places we've been to, my wife enjoys the butter chicken here the most. The vegetarian dishes are to die for and you can taste the authenticity. This is our favorite Indian spot in town and we will return!",1,0,4.02173913,1.333333333,9.2,15.33333333,6,92,11,9,0,0.444444444,0.916666667,8,0.785714286,2,1
Jasmin Restaurant,"I ordered the aloo gobi (since I'm all for trying new things) with naan. While I waited for the food to be prepared, I sat and listened to Indian hymns above. The food had already arrived -- with the first bite I was in love. So many flavors that after one bite and two, I just wanted more. The cauliflower and potatoes were cooked perfectly with just the right amount of spices. While living in Lubbock, this is the most I've eaten at Indian restaurants when I was back in Houston, I would rarely eat out, but it's something about Indian restaurants in Lubbock.",1,0,3.825,2.333333333,10.38461538,20,6,120,13,8,0,0.703703704,0.842105263,11.33333333,0.70754717,0,0
Jasmin Restaurant,"12 place of visiting every restaurant in Lubbock, this place was really amazing especially with a free appetizer i dont know what its called, but it's similar to chips and salsa. My main dish was really good, definitely authentic I would recommend to anyone looking for Indian food in Lubbock.",1,0,4.280701754,2.5,38.5,28.5,2,57,6,7,0,0.785714286,0.923076923,13,0.884615385,1,0
Jasmin Restaurant,"I went here and had the samosas (vegetarian) and butter chicken (extra spicy). I really liked the spice level as it was one of the first things I have had in Lubbock with a nice burn to it. The food was very good and the staff was knowledgeable regarding not only the food they serve and customer preferences, but also different types of Indian cuisine served the region and across the state.",1,0,4.0125,2.666666667,14.45454545,26.66666667,3,80,6,6,0,0.545454545,0.965517241,14.33333333,0.75,0,0
Rose Restaurant,Rose Restaurant introduced me to Indian food and I must say I am very impressed with the food they serve here. The location is very clean and well managed. I was well greeted when I stepped in and was immediately helped by a polite cashier. The prices were also very decent. I got my food earlier than I expected and thoroughly enjoyed it. I am definitely coming back in the future.,0,2,4,1,7.285714286,12.83333333,6,77,12,5,1,1,0.928571429,7.166666667,0.732394366,1,0
Rose Restaurant,"Rose Restaurant is my go to place for getting Indian food. I am not a fan of spicy food, so I did not like Indian food as it is mostly very spicy. However, this place has less spice and more flavor of the food. These guys have successfully modified the Indian dish into a Indian-American style of food. This will let a lot of people who cannot eat spicy food, get a taste of mouth-watering Indian dishes.",0,2,3.6,2,9.625,18,5,90,8,11,0,0.535714286,0.675675676,8.6,0.7,1,0
Rose Restaurant,"I really love everything about this place. The place is very neat and clean, the service is wonderful, the prices are really affordable, the portion size is really huge and most importantly, the food tastes really really good. There are no complaints from my side, only good things to say about this place. Everyone must get a taste of their food and I bet that you will love it.",0,2,3.987179487,2.25,7.545454545,19.5,4,78,7,7,0,0.8,0.791666667,11.25,0.710144928,2,0
Rose Restaurant,"For me, Rose Restaurant was one of the most horrible food experiences of my life. I know how the Indian food tastes and this was nowhere near that. It was least authentic Indian food I have had in a while in a Indian Food Place.",0,2,3.673469388,1.333333333,13.14285714,16.33333333,3,49,2,4,0,0.888888889,0.764705882,9.333333333,0.755555556,0,0
Rose Restaurant,I used to like Rose Restaurant and their food until one day I found a hair on my food. It would be okay if the other plate they bring did not have a hair in it too. I was really disappointed how the service of this place has been degrading day-by-day and the owner is not willing to do anything about it. I would not go here if I were you.,0,2,3.35443038,1.5,5.8,19.75,4,79,8,4,0,0.421052632,0.8,13.25,0.753424658,1,0
Rose Restaurant,"This place has one of the dirtiest kitchen I have seen in a food place. You can directly see the kitchen from the eating place and I could see some of the employees cooking without the hairnets. I had to wait for like 10 minutes to order some food in an almost empty restaurant. There was literally no one at the register. When the lady came to register, instead of apologizing as most employees in a business would, she was very indifferent and seemed like she did not care.",0,2,4.03125,1.4,10.46153846,19.2,5,96,15,4,0,0.322580645,0.78125,11.4,0.685393258,1,0
Rose Restaurant,The quality of food in this restaurant sucks. I got the chicken butter masala which is my favorite dish at any indian food place but this was something else. It did not even look like the chicken butter masala and surely did not take like one. It had very blunt taste to it and smelled like it had been sitting in the fridge for days. I am not coming here anytime in the future.,0,2,3.860759494,1,10.08333333,15.8,5,79,7,3,0,0.391304348,0.8,8.8,0.72972973,0,0
Rose Restaurant,"Rose Restaurant is not as good as some of the people say it is. It says Indian food in the description, but the food is not authentic. The curry has a stale smell and you can tell that none of their ingredients are fresh. They smell like frozen food from walmart. Also the staff are very unresponsive and rude. I would not spend my money here.",0,2,3.753424658,1.166666667,10.33333333,12.16666667,6,73,8,7,0,0.578947368,0.884615385,6.666666667,0.787878788,1,0
Rose Restaurant,"This place may very well be the best Indian restaurant in town. It’s probably the most popular, and both their locations (Milwaukee and by Tech campus) are clean and well-staffed. I eat at one or the other location at least a couple times a week, and it's excellent every time. If you like spicy food, they have an option to order the food hot (there's also a third 'very hot' option), but if you have a milder palate, they do have a few dishes that aren't too spicy.",1,0,3.486238532,4,10.78571429,27.25,4,109,8,14,0,0.88,0.878787879,15,0.741935484,0,0
Rose Restaurant,I go to Rose Restaurant all the time. I moved to Lubbock about the time it opened and I have been a loyal customer since. I've enjoyed every dish that I've tried there. My go to is the Chicken Tikka Masala. And the great thing about it is you can have them make your dish spicy if you wish. It's great to have a fast casual Indian restaurant in town. So much better than a buffet. I recommend this place to everyone!,1,0,3.559139785,1,9.1,11.625,8,93,9,8,0,0.6,0.866666667,6.875,0.694117647,1,0
Rose Restaurant,"Tastes just like what you'd find in India. We got the tikka wrap and we just couldn't get enough! The sauce they give on the side is to die for and we got more because it was so good. I've never had an indian restaurant around here make fresh paneer and you could taste the difference, it was melt in your mouth. We'll definitely be coming back, can't recommend it enough. If you're nervous about Indian food this is a good place to start. It's very similar to a fast casual restaurant that you'd find in the area.",1,0,3.626086957,1.285714286,9.363636364,16.42857143,7,115,20,11,0,0.625,0.882352941,10.28571429,0.735849057,3,2
Rose Restaurant,"Wow! My honest review was removed yesterday. The point of a review is to hear the truth from real customers. Only in a perfect world, all reviews would be great. I'm a CIA graduate. My chicken kabobs were raw in the center more than once. The masala sauce they put on the side was not good in my opinion. The staff were nice. I gave this place a chance not once, no twice but three times. Oh and what's up with the after taste of the lamb kabobs? Do you add kitchen cleaner? I honestly thought I was eating poison. We will not be going back again.",1,0,3.556451613,1.153846154,9.05,9.538461538,13,124,10,8,1,0.472222222,0.954545455,5,0.770642202,1,0
Rose Restaurant,"No complaints about the food or service. BUT: Food runner handled food (Naan bread) with bare hands. The cute little cookie sheets they serve our food on are taken from the shelf above the trash can, merely wiped with a dirty dish rag, then sent right back out with a new piece of paper on it to spread all the germs. Not sure how this is health code compliant.",1,0,3.756410256,2.25,9.294117647,19.5,4,78,6,6,0,0.392857143,0.944444444,8.25,0.869565217,0,0
Rose Restaurant,"The staff was less than friendly, with the exception of one super nice short haired lady who seems like the only one here who gives a rip. She's trying to take care of the entire restaurant cleaning tables, expediting food, and trying to fix all the mistakes. We couldn't find one clean table. The girl who put our order is a total smarta$$. I jokingly commented that their registers were really small. She responded by rolling her eyes with, ""well yeah, they're iPads."" We're still sitting here, and after my friend's dish came out missing half of its components and no sauce, 30 minutes have passed with no fulfillment of such items. Chicken curry is OK. Overall, not impressed. We won't be coming back.",1,0,3.906040268,2.111111111,9.913043478,16.55555556,9,149,19,14,0,0.466666667,0.982758621,8,0.792307692,0,1
Rose Restaurant,"Don't get a wrap! It took twice as long as the bowls. Everyone in the place was served before me even if they came in way after us. My boyfriend was done eating before I got my food. I ordered a lamb wrap with salad. I got a lamb wrap with RICE (wrong but after the wait didn't say anything) which was really cheese wrap with four tiny pieces of lamb. Hated my experience, won't be back.",1,0,3.455555556,1.428571429,7.769230769,12.85714286,7,90,11,1,1,0.275862069,0.806451613,7,0.7125,0,1
Rose Restaurant,"I expected a wait at a new restaurant, but nothing like this. We waited an hour to put our order in. While the line was a moderate size, the wait was due to the fact that they only had one girl working a register. This same girl was also bussing tables and delivering food! The manager and the other girl were standing there seemingly only able to observe. We finally made our way up to the front and the manager asked the girl to have us wait 5 minutes before taking our order. 5 minutes turned to 10 and from what I gathered, they had run out of cooked chicken so they were waiting for more to be done. Ok, fine, but they could have said something instead of leaving us standing there. In the end, the food was not great. I ordered the Chicken 65 shack bowl (""Chicken doused in spiced-up red-hot yogurt sauce, curry leaves, and green chilies"") however, it was not hot at all and lacked much flavor. It came with rice and a cup of  Tikka Sauce for dipping which while it didn't taste bad, it had an off putting sweetness to it. The rice was a bit on the dry side as well and I expected more food for $10.",1,0,3.603238866,2.333333333,9.542857143,20.58333333,12,247,29,18,0,0.436619718,0.813186813,10.66666667,0.625570776,1,1
Gloria Restaurant,Gloria Restaurant is the most authentic Indian food restaurant in the area.I went to grab lunch on a beautiful Sunday afternoon and I could not think of being anywhere else than in Gloria Restaurant. I loved the food so much that I requested to meet the chef to give him my compliments. They also serve most really rare authentic deserts as well. Definitely worth a visit.,0,2,4.232876712,1,12,14.6,5,73,9,6,0,0.894736842,0.833333333,7.6,0.764705882,0,0
Gloria Restaurant,The food here is so good that it reminds of my home. The spices and the aroma of the food takes one to a spiritual food land and makes you crave for more even when you are already full. Never have I ever been so impressed with a restaurant. Their prices are really competitive too. I have wonderful location with adequate sitting space and great food presentation as well.,0,2,4.108108108,1,16.33333333,14.8,5,74,5,8,0,1.166666667,0.88,8.8,0.782608696,0,0
Gloria Restaurant,"I will never ever go to this place in my life. They treated me like I owe them money. They messed up my order and when I told them that it was not something I wanted, they would refuse to take it back. Instead they blamed me for not giving the right order and accused me of one the just wanting free food. The manager took the side of his employee and wasn't helpful at all.",0,2,3.602409639,1.2,7.625,16.6,5,83,15,3,0,0.458333333,0.958333333,10.6,0.753246753,1,0
Gloria Restaurant,"I went there with my family and I will say it is not a place to spend your Sunday evening. The location was very unmanaged and dirty. The food was really disgusting. Everything in the plate smell and tasted like it was made 3 days ago, frozen and heating back up. The curry was a bit cold to be honest. There are better options out there in Lubbock to spend your money.",0,2,3.772151899,1.166666667,6.615384615,13.16666667,6,79,7,7,1,0.75,0.965517241,7.166666667,0.763888889,1,0
Gloria Restaurant,"Lot a great place for meat lovers. They have a lot of vegetarian options. All their dishes are highly priced. To be honest, I don't want to spend $15 dollars for a vegetarian dish. I got a chicken Biryani and my wife tried gave a try to a vegetarian dish. I was really disappointed as I could instantly tell that the meat had a really bad smell. My wife also hated her dish and also found hair in her food. They have a lot to improve here.",0,2,3.602040816,1.125,8.625,12.25,8,98,11,7,0,0.5,0.833333333,5.875,0.707865169,0,0
Gloria Restaurant,"I have nothing good to say about this place. Firstly, the service sucks. I had to wait for almost 25 minutes before I got my food. However, it was not worth waiting for that food. It was really blunt, no spices whatsoever. Also, the prices are quite high. I could easily meat two meals in a decent restaurant with the amount of money I paid for a dish and some desert. This place does not deserve my business.",0,2,3.688888889,1.5,7.214285714,11.25,8,90,9,5,0,0.541666667,0.933333333,6,0.807692308,0,0
Gloria Restaurant,"I have been to so many Indian restaurants. Some of them were good, some of them were not. However this was the worst of them all. I love Indian food, but this place is so bad that I was so hesitant going to any other indian restaurant after the visit. The place was so dirty and unmanaged. Really bad service and overpriced menu. I was amazed to see a considerable number of people in the restaurant. This place needs to be empty.",0,2,3.793478261,1.25,13.5,11.5,8,92,4,16,0,1.375,0.821428571,6.75,0.670731707,0,0
Gloria Restaurant,"We love this place! I give it four stars only because it doesn't look super welcoming outside, and it is quite dated and a little dark inside, much as it would be if you were visiting in India, most likely. But if you can get past appearances and our sometimes over-critical American standards, the food is always hot, consistently prepared and really, really delicious. Even when you're the only customer there, and it seems no one else has been there in years, the food is hot and fresh. Then someone else comes in. Then another picks up a take-out order. After awhile you realize they have a dedicated fan base. Dishes are spotless and I've never had a bad experience. Go during buffet hours and you'll leave stuffed. Be sure to visit with the owner, Paul, too. He is a wonderful host - super polite and helpful. Trust me. Give Gloria Restaurant and Paul a chance to make your belly happy. You'll be glad you did!",1,0,3.748743719,1.928571429,10.22222222,14.21428571,14,199,21,24,0,1.170731707,0.919354839,7.857142857,0.73255814,4,3
Gloria Restaurant,"This is my favorite restaurant in Lubbock. The food is tasty and filling. At lunch you've got a cheap, all-you-can-eat buffet with a range of different vegetable dishes, meatballs, chicken, tomato soup, and freshly baked naan. At dinner, it's a bit pricier, but the quality of the food is still excellent and you've got a wide range of choices. I especially like the chicken and spinach dish. I love the decor. It's nothing fancy, but it lets you know you're in an Indian restaurant and puts me at ease whenever I go in there. The best feature of this place is the owner/cook/waiter. He provides excellent service, always appearing at your elbow to refill your water and ask if he can get you anything. He is the most polite individual I have ever met. You feel like you're an honored guest at his home.",1,0,3.666666667,2.272727273,13.72,16.36363636,11,180,19,14,0,0.452830189,0.897058824,7.909090909,0.670967742,1,2
Gloria Restaurant,had a horrible experience. had to wait so long. no wonder we were the only customer. the furnitures are from 1925. disgusting decor. Most importantly food is horrible. Samosa not authentic. probably bought frozen. kebab same issue. tandoori is a joke the old Punjabi guy was doing all the job maybe also cooking or rather heating.,1,0,4.166666667,1,9.9,6.6,10,66,5,9,0,1.133333333,0.965517241,2.7,0.875,0,0
